Store,Date,Total_Produce_Sales
S0063,2012-11-01,250089.72
S0064,2012-11-01,247781.93
S0065,2012-11-01,336195.79
S0066,2012-11-01,263029.93
S0067,2012-11-01,241944.88
S0068,2012-11-01,367458.88
S0069,2012-11-01,270420.95
S0070,2012-11-01,318534.58
S0071,2012-11-01,368431.63
S0072,2012-11-01,367855.24
S0073,2012-11-01,349585.18
S0074,2012-11-01,188763.95
S0075,2012-11-01,284215.29
S0076,2012-11-01,228207.57
S0077,2012-11-01,249902.92
S0078,2012-11-01,192725.64
S0079,2012-11-01,211641.28
S0080,2012-11-01,102092.39
S0081,2012-11-01,144712.82
S0082,2012-11-01,355350.64
S0083,2012-11-01,194592.46
S0084,2012-11-01,190176.54
S0085,2012-11-01,221496.84
S0001,2012-12-01,189645.21
S0002,2012-12-01,143954.54
S0003,2012-12-01,347721.92
S0004,2012-12-01,288554.96
S0005,2012-12-01,310025.68
S0006,2012-12-01,308000.22
S0007,2012-12-01,302016.25
S0008,2012-12-01,287600.85
S0009,2012-12-01,319873.21
S0010,2012-12-01,233370.71
S0011,2012-12-01,208280
S0012,2012-12-01,431027.97
S0013,2012-12-01,309950.46
S0014,2012-12-01,268729.49
S0015,2012-12-01,246252.71
S0016,2012-12-01,183413.14
S0017,2012-12-01,293182.24
S0018,2012-12-01,237737.33
S0019,2012-12-01,173776.29
S0020,2012-12-01,201225.03
S0021,2012-12-01,224791.3
S0022,2012-12-01,215573.63
S0023,2012-12-01,165821.34
S0024,2012-12-01,211960.67
S0025,2012-12-01,283825.78
S0026,2012-12-01,214844.82
S0027,2012-12-01,288336.23
S0028,2012-12-01,169357.87
S0029,2012-12-01,330057.63
S0030,2012-12-01,257385.61
S0031,2012-12-01,206085.47
S0033,2012-12-01,337295.39
S0034,2012-12-01,310651.8
S0035,2012-12-01,149287.23
S0036,2012-12-01,166405.33
S0038,2012-12-01,178174.53
S0039,2012-12-01,145461.48
S0040,2012-12-01,424518.37
S0041,2012-12-01,186415.61
S0042,2012-12-01,346733.68
S0043,2012-12-01,251216.2
S0044,2012-12-01,338796.94
S0045,2012-12-01,386262.62
S0046,2012-12-01,410623.67
S0047,2012-12-01,378721.67
S0048,2012-12-01,305322.59
S0049,2012-12-01,200448.21
S0051,2012-12-01,274655.67
S0052,2012-12-01,505779.89
S0053,2012-12-01,242114.78
S0054,2012-12-01,473588.45
S0055,2012-12-01,352917.01
S0056,2012-12-01,202635.69
S0058,2012-12-01,259475.17
S0059,2012-12-01,322548.13
S0060,2012-12-01,266967.34
S0061,2012-12-01,405309.78
S0062,2012-12-01,277038.94
S0063,2012-12-01,241940.06
S0064,2012-12-01,253784.02
S0065,2012-12-01,336717.16
S0066,2012-12-01,264396.13
S0067,2012-12-01,177948.23
S0068,2012-12-01,374021.75
S0069,2012-12-01,279416.77
S0070,2012-12-01,315570.95
S0071,2012-12-01,371971.26
S0072,2012-12-01,405428.07
S0073,2012-12-01,356179.61
S0074,2012-12-01,192397.56
S0075,2012-12-01,339234.45
S0076,2012-12-01,222798.62
S0077,2012-12-01,244717.76
S0078,2012-12-01,194656.02
S0079,2012-12-01,215398.73
S0080,2012-12-01,98750.86
S0081,2012-12-01,153585.33
S0082,2012-12-01,370066.9
S0083,2012-12-01,191089.05
S0084,2012-12-01,186002.32
S0085,2012-12-01,225160.41
S0001,2013-01-01,168295.47
S0002,2013-01-01,135158.26
S0003,2013-01-01,300566.66
S0004,2013-01-01,229652.41
S0005,2013-01-01,302452.52
S0006,2013-01-01,256977.72
S0007,2013-01-01,280984.89
S0008,2013-01-01,274834.79
S0009,2013-01-01,261617.34
S0010,2013-01-01,219259.84
S0011,2013-01-01,171060.87
S0012,2013-01-01,371894.03
S0013,2013-01-01,270768.66
S0014,2013-01-01,246175.86
S0015,2013-01-01,241208.05
S0016,2013-01-01,171270.54
S0017,2013-01-01,293682.16
S0018,2013-01-01,216344.7
S0019,2013-01-01,157438.29
S0020,2013-01-01,190996.49
S0021,2013-01-01,238594.89
S0022,2013-01-01,195769.09
S0023,2013-01-01,151411.66
S0024,2013-01-01,201662.79
S0025,2013-01-01,268400.3
S0026,2013-01-01,191299.84
S0027,2013-01-01,284132.77
S0028,2013-01-01,159794.91
S0029,2013-01-01,258840.54
S0030,2013-01-01,210731.18
S0031,2013-01-01,191477.02
S0033,2013-01-01,307592.64
S0034,2013-01-01,296070.76
S0035,2013-01-01,136752.03
S0036,2013-01-01,150313.69
S0037,2013-01-01,367364.44
S0038,2013-01-01,178210.46
S0039,2013-01-01,127663.79
S0040,2013-01-01,380156.21
S0041,2013-01-01,172546.46
S0042,2013-01-01,284094.02
S0043,2013-01-01,235378.75
S0044,2013-01-01,291719.85
S0045,2013-01-01,364901.83
